,Date,Day,startTime,endTime,totalTime,attendance,homeTeam,awayTeam,gameType,homeScore,awayScore,winner,loser,gameLoc_type,location,Team,Arena,Capacity,Sheet Size,Unnamed: 4,0,Attendance%
0,October 3 2014,Friday,1900-01-01 19:07:00,1900-01-01 21:38:00,151,1452,Alaska,Western Ontario,Exhibition Game,3,1,Home Team,Away Team,home/away game,Alaska,Alaska,Carlson Center,4595.0,200x100,Map,100,0.3159956474428727
1,October 4 2014,Saturday,1900-01-01 12:00:00,1900-01-01 14:13:00,133,874,Bowling Green,Simon Fraser,Exhibition Game,7,2,Home Team,Away Team,home/away game,Bowling Green,Bowling Green,Slater Family Ice Arena,5000.0,200x85,Map,85,0.1748
2,October 4 2014,Saturday,1900-01-01 14:00:00,1900-01-01 16:40:00,160,2905,Western Michigan,Toronto,Exhibition Game,2,2,Tie,Tie,home/away game,Western Michigan,Western Michigan,Lawson Ice Arena,3667.0,200x85,Map,85,0.7922007090264521
3,October 4 2014,Saturday,1900-01-01 16:05:00,1900-01-01 18:17:00,132,3542,Boston University,St. Thomas (NB),Exhibition Game,12,1,Home Team,Away Team,home/away game,Boston University,Boston University,Agganis Arena,6300.0,200x90,Map,90,0.5622222222222222
4,October 4 2014,Saturday,1900-01-01 16:00:00,1900-01-01 18:12:00,132,3602,New Hampshire,St. Francis Xavier,Exhibition Game,0,2,Away Team,Home Team,home/away game,New Hampshire,New Hampshire,Whittemore Center,6501.0,200x100,Map,100,0.5540686048300262
5,October 4 2014,Saturday,1900-01-01 16:30:00,1900-01-01 18:32:00,122,2109,Ohio State,Guelph,Exhibition Game,7,1,Home Team,Away Team,home/away game,Ohio State,Ohio State,Value City Arena,17500.0,200x85,Map,85,0.12051428571428571
6,October 4 2014,Saturday,1900-01-01 19:00:00,1900-01-01 21:15:00,135,1187,Colgate,Queen's,Exhibition Game,7,1,Home Team,Away Team,home/away game,Colgate,Colgate,Class of 1965 Arena,2100.0,200x85,Map,85,0.5652380952380952
7,October 4 2014,Saturday,1900-01-01 19:00:00,1900-01-01 20:59:00,119,1346,Quinnipiac,Acadia,Exhibition Game,1,4,Away Team,Home Team,home/away game,Quinnipiac,Quinnipiac,People's United Center,3286.0,200x85,Map,85,0.40961655508216677
8,October 4 2014,Saturday,1900-01-01 19:00:00,1900-01-01 21:26:00,146,2816,Rensselaer,Prince Edward Island,Exhibition Game,5,2,Home Team,Away Team,home/away game,Rensselaer,Rensselaer,Houston Field House,4780.0,200x85,Map,85,0.5891213389121339
9,October 4 2014,Saturday,1900-01-01 19:00:00,1900-01-01 21:09:00,129,2300,St. Lawrence,Carleton,Exhibition Game,4,0,Home Team,Away Team,home/away game,St. Lawrence,St. Lawrence,Appleton Arena,3000.0,200x85,Map,85,0.7666666666666667
10,October 4 2014,Saturday,1900-01-01 19:00:00,1900-01-01 21:07:00,127,0,Massachusetts,Dalhousie,Exhibition Game,5,2,Home Team,Away Team,home/away game,Massachusetts,Massachusetts,William D. Mullins Center,8373.0,200x95,Map,95,0.0
11,October 4 2014,Saturday,1900-01-01 19:00:00,1900-01-01 21:17:00,137,539,Boston College,New Brunswick,Exhibition Game,6,4,Home Team,Away Team,home/away game,Boston College,Boston College,Conte Forum (Kelley Rink),7884.0,200x87,Map,87,0.06836631151699644
12,October 4 2014,Saturday,1900-01-01 19:05:00,1900-01-01 21:22:00,137,2973,RIT,Brock,Exhibition Game,5,2,Home Team,Away Team,home/away game,RIT,RIT,Gene Polisseni Center,4300.0,200x85,Map,85,0.6913953488372093
13,October 4 2014,Saturday,1900-01-01 19:05:00,1900-01-01 21:18:00,133,723,Robert Morris,Ryerson,Exhibition Game,0,1,Away Team,Home Team,home/away game,Robert Morris,Robert Morris,Colonials Arena,1589.0,200x85,Map,85,0.4550031466331026
14,October 4 2014,Saturday,1900-01-01 19:07:00,1900-01-01 21:33:00,146,2135,Lake Superior State,Michigan Tech,WCHA Conference Game,3,5,Away Team,Home Team,home/away game,Lake Superior State,Lake Superior State,Taffy Abel Arena,3373.0,200x85,Map,85,0.6329676845538097
15,October 4 2014,Saturday,1900-01-01 19:37:00,1900-01-01 22:05:00,148,2532,Ferris State,Michigan,Non-Conference Game,4,3,Home Team,Away Team,home/away game,Ferris State,Ferris State,Ewigleben Ice Arena,2457.0,200x85,Map,85,1.0305250305250304
16,October 4 2014,Saturday,1900-01-01 19:00:00,1900-01-01 21:09:00,129,8991,Minnesota,Northern Alberta,Exhibition Game,5,0,Home Team,Away Team,home/away game,Minnesota,Minnesota,3M Arena at Mariucci,10000.0,200x100,Map,100,0.8991
18,October 4 2014,Saturday,1900-01-01 19:07:00,1900-01-01 21:18:00,131,3657,St. Cloud State,Trinity Western,Exhibition Game,8,0,Home Team,Away Team,home/away game,St. Cloud State,St. Cloud State,Herb Brooks National Hockey Center,5159.0,200x100,Map,100,0.7088583058732313
19,October 4 2014,Saturday,1900-01-01 19:07:00,1900-01-01 21:26:00,139,4870,Denver,McGill,Exhibition Game,3,2,Home Team,Away Team,home/away game,Denver,Denver,Magness Arena,6026.0,200x85,Map,85,0.8081646199800863
20,October 4 2014,Saturday,1900-01-01 19:07:00,1900-01-01 21:27:00,140,419,Alaska Anchorage,Western Ontario,Exhibition Game,8,0,Home Team,Away Team,home/away game,Alaska Anchorage,Alaska Anchorage,Wells Fargo Sports Complex,,200x85,Map,85,
21,October 5 2014,Sunday,1900-01-01 14:05:00,1900-01-01 16:04:00,119,759,Connecticut,Dalhousie,Exhibition Game,3,1,Home Team,Away Team,home/away game,Connecticut,,,,,,,
22,October 5 2014,Sunday,1900-01-01 14:30:00,1900-01-01 16:38:00,128,1689,Clarkson,Queen's,Exhibition Game,8,0,Home Team,Away Team,home/away game,Clarkson,Clarkson,Cheel Arena,3000.0,200x85,Map,85,0.563
23,October 5 2014,Sunday,1900-01-01 15:05:00,1900-01-01 17:35:00,150,1987,Merrimack,St. Francis Xavier,Exhibition Game,2,2,Tie,Tie,home/away game,Merrimack,Merrimack,J. Thom Lawler Rink,2549.0,200x85,Map,85,0.7795213809336995
24,October 5 2014,Sunday,1900-01-01 15:00:00,1900-01-01 17:10:00,130,541,Niagara,Brock,Exhibition Game,4,0,Home Team,Away Team,home/away game,Niagara,Niagara,Dwyer Arena,2100.0,200x85,Map,85,0.25761904761904764
25,October 5 2014,Sunday,1900-01-01 15:00:00,1900-01-01 17:15:00,135,1507,Northeastern,Acadia,Exhibition Game,2,3,Away Team,Home Team,home/away game,Northeastern,Northeastern,Matthews Arena,4666.0,200x90,Map,90,0.3229747106729533
