,#,Name,Class/Position,Class/Position.1,Height,Weight,YOB,Hometown / Last Team,Yr / Pos,Yr / Pos.1,S/C,Yr / Pos,Yr / Pos.1,Hometown,City,State
2,#4,Lee Goren,Senior,W,3-Jun,205,77,"Winnipeg, Manitoba/Minot (SJHL)",,,,,,"Winnipeg, Manitoba",Winnipeg, Manitoba
4,#6,Tim O'Connell,Senior,D,4-Jun,210,77,"Grand Forks, North Dakota/Fargo-Moorhead (USHL)",,,,,,"Grand Forks, North Dakota",Grand Forks, North Dakota
6,#8,Mike Commodore,Junior,D,4-Jun,225,79,"Fort Saskatchewan, Alberta/Fort Saskatchewan",,,,,,"Fort Saskatchewan, Alberta",Fort Saskatchewan, Alberta
7,#9,Jason Ulmer,Senior,C,10-May,175,78,"Wilcox, Saskatchewan/Notre Dame (SJHL)",,,,,,"Wilcox, Saskatchewan",Wilcox, Saskatchewan
9,#11,Peter Armbrust,Senior,W,11-May,200,77,"Edina, Minnesota/Edina High School",,,,,,"Edina, Minnesota",Edina, Minnesota
14,#19,Ryan Bayda,Freshman,F,11-May,185,80,"Saskatoon, Saskatchewan/Vernon (BCHL)",,,,,,"Saskatoon, Saskatchewan",Saskatoon, Saskatchewan
16,#21,Jeff Yurecko,Freshman,F,2-Jun,195,80,"Edina, Minnesota/Edina High School",,,,,,"Edina, Minnesota",Edina, Minnesota
17,#22,Pat Kenny,Sophomore,W,1-Jun,200,77,"Edmonton, Alberta/Quesnel (BCHL)",,,,,,"Edmonton, Alberta",Edmonton, Alberta
19,#24,Brad DeFauw,Senior,W,3-Jun,210,77,"Apple Valley, Minnesota/Apple Valley High School",,,,,,"Apple Valley, Minnesota",Apple Valley, Minnesota
21,#26,Jason Noterman,Freshman,F,9-May,175,78,"Rochester, Minnesota/Green Bay (USHL)",,,,,,"Rochester, Minnesota",Rochester, Minnesota
25,#30,Jason Endres,Freshman,G,8-May,155,77,"Grand Forks, North Dakota/Fargo-Moorhead (USHL)",,,,,,"Grand Forks, North Dakota",Grand Forks, North Dakota
0,#1,Karl Goehring,,,7-May,150,78,"Apple Valley, Minnesota / Fargo-Moorhead (USHL)",SR,G,,,,"Apple Valley, Minnesota ",Apple Valley, Minnesota 
1,#3,Trevor Hammer,,,Jun-00,180,78,"Roseau, Minnesota / Roseau High School",SR,D,,,,"Roseau, Minnesota ",Roseau, Minnesota 
2,#4,David Hale (NJD),,,1-Jun,200,81,"Colorado Springs, Colorado / Sioux City (USHL)",FR,D,,,,"Colorado Springs, Colorado ",Colorado Springs, Colorado 
4,#6,Nate Wright,,,11-May,185,80,"Alexandria, Minnesota / Chicago Steel",FR,LD,,,,"Alexandria, Minnesota ",Alexandria, Minnesota 
5,#7,Travis Roche,,,1-Jun,190,78,"Whitecourt, Alberta / Trail (BCHL)",SO,D,,,,"Whitecourt, Alberta ",Whitecourt, Alberta 
7,#10,Bryan Lundbohm,,,10-May,180,77,"Roseau, Minnesota / Lincoln (USHL)",JR,C,,,,"Roseau, Minnesota ",Roseau, Minnesota 
8,#11,Pat O'Leary,,,11-May,187,79,"Fargo, North Dakota / Fargo-Moorhead (USHL)",FR,W,,,,"Fargo, North Dakota ",Fargo, North Dakota 
9,#14,Adrian Hasbargen,,,10-May,187,79,"Warroad, Minnesota / Alaska-Anchorage",JR,D/F,,,,"Warroad, Minnesota ",Warroad, Minnesota 
12,#17,Jeff Panzer,,,10-May,160,78,"Grand Forks, North Dakota / Fargo-Moorhead (USHL)",SR,C/W,,,,"Grand Forks, North Dakota ",Grand Forks, North Dakota 
15,#20,Wes Dorey,,,11-May,175,76,"Edmonton, Alberta / Weyburn (SJHL)",SR,C/W,,,,"Edmonton, Alberta ",Edmonton, Alberta 
20,#28,Paul Murphy,,,10-May,180,77,"Manvel, North Dakota / North Iowa (USHL)",JR,D,,,,"Manvel, North Dakota ",Manvel, North Dakota 
21,#29,Mike Possin,,,2-Jun,200,77,"St. Cloud, Minnesota / Twin Cities (USHL)",JR,W,,,,"St. Cloud, Minnesota ",St. Cloud, Minnesota 
0,#1,Josh Siembeda,,,9-May,175,83,"Porcupine, Ontario / Waterloo (USHL)",FR,G,,,,"Porcupine, Ontario ",Porcupine, Ontario 
7,#9,Chris Fournier,,,8-May,165,82,"Anchorage, Alaska / Lincoln (USHL)",FR,F,,,,"Anchorage, Alaska ",Anchorage, Alaska 
9,#13,Brendan Connelly,,,9-May,170,79,"White Bear Lake, Minnesota / Air Force (CHA)",JR,F,,,,"White Bear Lake, Minnesota ",White Bear Lake, Minnesota 
13,#18,Tim Skarperud,,,Jun-00,185,78,"Grand Forks, North Dakota / Sioux City (USHL)",JR,F,,,,"Grand Forks, North Dakota ",Grand Forks, North Dakota 
14,#19,Ryan Bayda (CAR),,,Jun-00,190,80,"Saskatoon, Saskatchewan / Vernon (BCHL)",JR,F,,,,"Saskatoon, Saskatchewan ",Saskatoon, Saskatchewan 
16,#21,Derek Faul,,,Jun-00,180,81,"Spy Hill, Saskatchewan / Notre Dame (SJHL)",FR,F,,,,"Spy Hill, Saskatchewan ",Spy Hill, Saskatchewan 
18,#23,Aaron Schneekloth,,,11-May,190,78,"Calgary, Alberta / South Surrey (BCHL)",SR,D,,,,"Calgary, Alberta ",Calgary, Alberta 
22,#27,Chad Mazurak,,,11-May,190,78,"Regina, Saskatchewan / Lincoln (USHL)",SR,D,,,,"Regina, Saskatchewan ",Regina, Saskatchewan 
25,#35,Andy Kollar,,,7-May,140,77,"Winnipeg, Manitoba / Fargo-Moorhead (USHL)",SR,G,,,,"Winnipeg, Manitoba ",Winnipeg, Manitoba 
0,#1,Josh Siembida,,,9-May,175,83,"Porcupine, Ontario / Waterloo (USHL)",,,,SO,G,"Porcupine, Ontario ",Porcupine, Ontario 
2,#3,Matt Jones,,,Jun-00,,83,"Lisle, Illinois / Green Bay",,,,SO,RD/LD,"Lisle, Illinois ",Lisle, Illinois 
3,#4,David Hale,,,1-Jun,200,81,"Colorado Springs, Colorado / Sioux City",,,,JR,LD/RD,"Colorado Springs, Colorado ",Colorado Springs, Colorado 
5,#6,Andy Schneider,,,Jun-00,200,81,"Grand Forks, North Dakota / Lincoln",,,,SO,RD/LD,"Grand Forks, North Dakota ",Grand Forks, North Dakota 
10,#11,Zach Parise,,,11-May,180,84,"Faribault, Minnesota / Shattuck-St. Mary's HS",,,L,FR,F,"Faribault, Minnesota ",Faribault, Minnesota 
13,#16,Kevin Spiewak,,,10-May,190,79,"Schaumburg, Illinois / Omaha (USHL)",,,,SR,F,"Schaumburg, Illinois ",Schaumburg, Illinois 
14,#17,Ryan Connelly,,,9-May,175,82,"White Bear Lake, Minnesota / Waterloo (USHL)",,,,SO,F,"White Bear Lake, Minnesota ",White Bear Lake, Minnesota 
18,#24,Chris Leinweber,,,10-May,180,81,"Calgary, Alberta / Calgary (AJHL)",,,,SR,D,"Calgary, Alberta ",Calgary, Alberta 
20,#26,Jason Notermann,,,10-May,180,78,"Rochester, Minnesota / Green Bay (USHL)",,,,SR,F,"Rochester, Minnesota ",Rochester, Minnesota 
23,#31,Ryan Sofie,,,7-May,145,79,"Brainerd, Minnesota / Flagstaff (WSHL)",,,,JR,G,"Brainerd, Minnesota ",Brainerd, Minnesota 
24,#35,Marc Ranfranz,,,7-May,170,78,"Rochester, Minnesota / Rochester Mustangs",,,,JR,G,"Rochester, Minnesota ",Rochester, Minnesota 
4,#5,David Lundbohm,,,1-Jun,194,79,"Roseau, Minnesota / Fargo-Moorhead (USHL)",,,R,SR,F/LW,"Roseau, Minnesota ",Roseau, Minnesota 
6,#7,Brandon Bochenski (OTT),,,2-Jun,195,82,"Blaine, Minnesota / Lincoln (USHL)",,,R,JR,F,"Blaine, Minnesota ",Blaine, Minnesota 
10,#11,Zach Parise (NJD),,,11-May,180,84,"Faribault, Minnesota / Shattuck-St. Mary's",,,L,SO,F,"Faribault, Minnesota ",Faribault, Minnesota 
13,#15,Tyler Palmiscno,,,9-May,165,79,"East Grand Forks, Minnesota / Sioux City (USHL)",,,L,SR,F,"East Grand Forks, Minnesota ",East Grand Forks, Minnesota 
14,#18,Drew Stafford,,,2-Jun,200,85,"Faribault, Minnesota / Shattuck-St. Mary's",,,R,FR,F,"Faribault, Minnesota ",Faribault, Minnesota 
20,#25,Ryan Hale,,,2-Jun,220,78,"Colorado Springs, Colorado / Waterloo (USHL)",,,R,SR,F,"Colorado Springs, Colorado ",Colorado Springs, Colorado 
