,Date,homeTeam,awayTeam,gameType,winner,loser,homeadjustedgoalsallowed,homeshotsonGoal,awayadjustedgoalsallowed,awayshotsonGoal,0,hockeySeason,GF,GA,SOG,SOGA,Team,Wins,Losses,Ties,Total,Season Game,Season Wins,Winning %,Season GF,Season SOG,Season GA,Season SOGA,Season GD,Season SOGD,Goals Per Game (mean),SOG per Game (mean),SOGA per Game (mean),Total Goals Per Game (mean),Expected Winning %,Error,Expected Winning GF/GA
0,2014-10-03,AKF,WON,home/away,AKF,WON,1,41,3,26,100.0,2014-2015 Season,3,1,41,26,AKF,1,0,0,1,1,1,1.0,3,41,1,26,2,15,3.0,41.0,26.0,4.0,1.0,0.0,0.9
63,2014-10-10,AKF,WIS,Tournament Game,AKF,WIS,0,31,1,14,,2014-2015 Season,1,0,31,14,AKF,1,0,0,1,2,2,1.0,4,72,1,40,3,32,2.0,36.0,20.0,2.5,1.1,-0.10000000000000009,0.9411764705882353
79,2014-10-11,AKF,MNE,Tournament Game,AKF,MNE,2,22,4,21,,2014-2015 Season,4,2,22,21,AKF,1,0,0,1,3,3,1.0,8,94,3,61,5,33,2.6666666666666665,31.333333333333332,20.333333333333332,3.6666666666666665,0.9545454545454546,0.045454545454545414,0.8767123287671232
108,2014-10-17,AKF,AFA,home/away,AKF,AFA,3,25,4,16,100.0,2014-2015 Season,4,3,25,16,AKF,1,0,0,1,4,4,1.0,12,119,6,77,6,42,3.0,29.75,19.25,4.5,0.8333333333333333,0.16666666666666674,0.8
132,2014-10-18,AKF,PSU,home/away,AKF,PSU,3,33,4,43,100.0,2014-2015 Season,4,3,33,43,AKF,1,0,0,1,5,5,1.0,16,152,9,120,7,32,3.2,30.4,24.0,5.0,0.78,0.21999999999999997,0.7596439169139466
266,2014-11-07,AKF,BGS,home/away,BGS,AKF,3,28,2,33,100.0,2014-2015 Season,2,3,28,33,AKF,0,1,0,1,6,5,0.8333333333333334,18,180,12,153,6,27,3.0,30.0,25.5,5.0,0.7,0.13333333333333341,0.6923076923076923
291,2014-11-08,AKF,BGS,home/away,BGS,AKF,3,38,2,29,100.0,2014-2015 Season,2,3,38,29,AKF,0,1,0,1,7,5,0.7142857142857143,20,218,15,182,5,36,2.857142857142857,31.142857142857142,26.0,5.0,0.6428571428571428,0.07142857142857151,0.64
416,2014-11-28,AKF,NMU,home/away,AKF,NMU,0,27,3,18,100.0,2014-2015 Season,3,0,27,18,AKF,1,0,0,1,8,6,0.75,23,245,15,200,8,45,2.875,30.625,25.0,4.75,0.7105263157894737,0.03947368421052633,0.7015915119363395
439,2014-11-29,AKF,NMU,home/away,NMU,AKF,4,30,1,29,100.0,2014-2015 Season,1,4,30,29,AKF,0,1,0,1,9,6,0.6666666666666666,24,275,19,229,5,46,2.6666666666666665,30.555555555555557,25.444444444444443,4.777777777777778,0.6162790697674418,0.050387596899224785,0.6147278548559232
502,2014-12-12,AKF,ALH,home/away,AKF,ALH,1,46,2,17,100.0,2014-2015 Season,2,1,46,17,AKF,1,0,0,1,10,7,0.7,26,321,20,246,6,75,2.6,32.1,24.6,4.6,0.6304347826086957,0.06956521739130428,0.6282527881040892
516,2014-12-13,AKF,ALH,home/away,AKF,ALH,0,41,4,14,100.0,2014-2015 Season,4,0,41,14,AKF,1,0,0,1,11,8,0.7272727272727273,30,362,20,260,10,102,2.727272727272727,32.90909090909091,23.636363636363637,4.545454545454546,0.7,0.027272727272727337,0.6923076923076923
574,2015-01-02,AKF,FSU,home/away,AKF,FSU,1,40,2,22,100.0,2014-2015 Season,2,1,40,22,AKF,1,0,0,1,12,9,0.75,32,402,21,282,11,120,2.6666666666666665,33.5,23.5,4.416666666666667,0.7075471698113207,0.04245283018867929,0.6989761092150171
597,2015-01-03,AKF,FSU,home/away,AKF,FSU,0,31,6,26,100.0,2014-2015 Season,6,0,31,26,AKF,1,0,0,1,13,10,0.7692307692307693,38,433,21,308,17,125,2.923076923076923,33.30769230769231,23.692307692307693,4.538461538461538,0.788135593220339,-0.01890482398956972,0.7660477453580902
685,2015-01-16,AKF,AKA,home/away,AKA,AKF,2,35,1,24,100.0,2014-2015 Season,1,2,35,24,AKF,0,1,0,1,14,10,0.7142857142857143,39,468,23,332,16,136,2.7857142857142856,33.42857142857143,23.714285714285715,4.428571428571429,0.7580645161290323,-0.04377880184331795,0.7419512195121951
709,2015-01-17,AKF,AKA,home/away,AKA,AKF,3,48,2,16,100.0,2014-2015 Season,2,3,48,16,AKF,0,1,0,1,15,10,0.6666666666666666,41,516,26,348,15,168,2.7333333333333334,34.4,23.2,4.466666666666667,0.7238805970149254,-0.057213930348258724,0.7131947390750955
841,2015-02-06,AKF,LSS,home/away,AKF,LSS,1,41,2,20,100.0,2014-2015 Season,2,1,41,20,AKF,1,0,0,1,16,11,0.6875,43,557,27,368,16,189,2.6875,34.8125,23.0,4.375,0.7285714285714285,-0.04107142857142854,0.71722265321955
865,2015-02-07,AKF,LSS,home/away,AKF,LSS,1,44,2,21,100.0,2014-2015 Season,2,1,44,21,AKF,1,0,0,1,17,12,0.7058823529411765,45,601,28,389,17,212,2.6470588235294117,35.35294117647059,22.88235294117647,4.294117647058823,0.7328767123287672,-0.02699435938759065,0.7208971164115343
895,2015-02-13,AKF,MNS,home/away,Tie,Tie,1,30,1,18,100.0,2014-2015 Season,1,1,30,18,AKF,0,0,1,1,18,12,0.6666666666666666,46,631,29,407,17,224,2.5555555555555554,35.05555555555556,22.61111111111111,4.166666666666667,0.7266666666666667,-0.06000000000000005,0.7155901251268177
923,2015-02-14,AKF,MNS,home/away,AKF,MNS,1,32,2,25,100.0,2014-2015 Season,2,1,32,25,AKF,1,0,0,1,19,13,0.6842105263157895,48,663,30,432,18,231,2.526315789473684,34.89473684210526,22.736842105263158,4.105263157894737,0.7307692307692308,-0.046558704453441346,0.7191011235955056
1212,2015-10-04,AKF,MTR,home/away,AKF,MTR,0,22,3,37,100.0,2015-2016 Season,3,0,22,37,AKF,1,0,0,1,1,1,1.0,3,22,0,37,3,-15,3.0,22.0,37.0,3.0,1.5,-0.5,1.0
1234,2015-10-09,AKF,STC,Tournament Game,STC,AKF,3,14,0,30,,2015-2016 Season,0,3,14,30,AKF,0,1,0,1,2,1,0.5,3,36,3,67,0,-31,1.5,18.0,33.5,3.0,0.5,0.0,0.5
1256,2015-10-10,AKF,ASU,Tournament Game,ASU,AKF,2,38,1,26,,2015-2016 Season,1,2,38,26,AKF,0,1,0,1,3,1,0.3333333333333333,4,74,5,93,-1,-19,1.3333333333333333,24.666666666666668,31.0,3.0,0.3888888888888889,-0.05555555555555558,0.3902439024390244
1288,2015-10-16,AKF,AIC,home/away,AKF,AIC,2,46,7,24,100.0,2015-2016 Season,7,2,46,24,AKF,1,0,0,1,4,2,0.5,11,120,7,117,4,3,2.75,30.0,29.25,4.5,0.7222222222222222,-0.2222222222222222,0.711764705882353
1310,2015-10-17,AKF,REN,home/away,AKF,REN,2,51,3,28,100.0,2015-2016 Season,3,2,51,28,AKF,1,0,0,1,5,3,0.6,14,171,9,145,5,26,2.8,34.2,29.0,4.6,0.717391304347826,-0.11739130434782608,0.7075812274368231
1446,2015-11-06,AKF,NMU,home/away,AKF,NMU,2,22,5,23,100.0,2015-2016 Season,5,2,22,23,AKF,1,0,0,1,6,4,0.6666666666666666,19,193,11,168,8,25,3.1666666666666665,32.166666666666664,28.0,5.0,0.7666666666666666,-0.09999999999999998,0.7489626556016598
1470,2015-11-07,AKF,NMU,home/away,NMU,AKF,5,33,2,29,100.0,2015-2016 Season,2,5,33,29,AKF,0,1,0,1,7,4,0.5714285714285714,21,226,16,197,5,29,3.0,32.285714285714285,28.142857142857142,5.285714285714286,0.6351351351351351,-0.06370656370656369,0.6327116212338594
1594,2015-11-27,AKF,MTU,home/away,MTU,AKF,3,15,1,33,100.0,2015-2016 Season,1,3,15,33,AKF,0,1,0,1,8,4,0.5,22,241,19,230,3,11,2.75,30.125,28.75,5.125,0.573170731707317,-0.07317073170731703,0.5727810650887574
1616,2015-11-28,AKF,MTU,home/away,MTU,AKF,2,28,1,27,100.0,2015-2016 Season,1,2,28,27,AKF,0,1,0,1,9,4,0.4444444444444444,23,269,21,257,2,12,2.5555555555555554,29.88888888888889,28.555555555555557,4.888888888888889,0.5454545454545454,-0.101010101010101,0.545360824742268
1649,2015-12-04,AKF,LSS,home/away,LSS,AKF,4,28,2,25,100.0,2015-2016 Season,2,4,28,25,AKF,0,1,0,1,10,4,0.4,25,297,25,282,0,15,2.5,29.7,28.2,5.0,0.5,-0.09999999999999998,0.5
1679,2015-12-05,AKF,LSS,home/away,LSS,AKF,1,36,0,27,100.0,2015-2016 Season,0,1,36,27,AKF,0,1,0,1,11,4,0.36363636363636365,25,333,26,309,-1,24,2.272727272727273,30.272727272727273,28.09090909090909,4.636363636363637,0.4803921568627451,-0.11675579322638147,0.4803996925441968
1780,2016-01-02,AKF,BMJ,home/away,BMJ,AKF,6,29,5,33,100.0,2015-2016 Season,5,6,29,33,AKF,0,1,0,1,12,4,0.3333333333333333,30,362,32,342,-2,20,2.5,30.166666666666668,28.5,5.166666666666667,0.467741935483871,-0.13440860215053768,0.4677754677754678
1791,2016-01-03,AKF,BMJ,home/away,Tie,Tie,1,27,1,30,100.0,2015-2016 Season,1,1,27,30,AKF,0,0,1,1,13,4,0.3076923076923077,31,389,33,372,-2,17,2.3846153846153846,29.923076923076923,28.615384615384617,4.923076923076923,0.46875,-0.1610576923076923,0.468780487804878
2041,2016-02-05,AKF,FSU,home/away,FSU,AKF,4,20,0,24,100.0,2015-2016 Season,0,4,20,24,AKF,0,1,0,1,14,4,0.2857142857142857,31,409,37,396,-6,13,2.2142857142857144,29.214285714285715,28.285714285714285,4.857142857142857,0.4117647058823529,-0.12605042016806722,0.41244635193133045
2065,2016-02-06,AKF,FSU,home/away,FSU,AKF,2,32,1,26,100.0,2015-2016 Season,1,2,32,26,AKF,0,1,0,1,15,4,0.26666666666666666,32,441,39,422,-7,19,2.1333333333333333,29.4,28.133333333333333,4.733333333333333,0.4014084507042254,-0.1347417840375587,0.4023575638506876
2150,2016-02-19,AKF,BGS,home/away,AKF,BGS,1,34,2,34,100.0,2015-2016 Season,2,1,34,34,AKF,1,0,0,1,16,5,0.3125,34,475,40,456,-6,19,2.125,29.6875,28.5,4.625,0.4189189189189189,-0.10641891891891891,0.41944847605224966
2176,2016-02-20,AKF,BGS,home/away,BGS,AKF,4,22,1,25,100.0,2015-2016 Season,1,4,22,25,AKF,0,1,0,1,17,5,0.29411764705882354,35,497,44,481,-9,16,2.0588235294117645,29.235294117647058,28.294117647058822,4.647058823529412,0.3860759493670886,-0.09195830230826507,0.38753559000316357
2259,2016-03-04,AKF,AKA,home/away,AKF,AKA,2,32,3,30,100.0,2015-2016 Season,3,2,32,30,AKF,1,0,0,1,18,6,0.3333333333333333,38,529,46,511,-8,18,2.111111111111111,29.38888888888889,28.38888888888889,4.666666666666667,0.40476190476190477,-0.07142857142857145,0.40561797752808987
2280,2016-03-05,AKF,AKA,home/away,AKF,AKA,2,30,3,21,100.0,2015-2016 Season,3,2,30,21,AKF,1,0,0,1,19,7,0.3684210526315789,41,559,48,532,-7,27,2.1578947368421053,29.42105263157895,28.0,4.684210526315789,0.4213483146067416,-0.052927261975162676,0.421831869510665
2416,2016-10-02,AKF,SFR,home/away,AKF,SFR,0,30,2,20,100.0,2016-2017 Season,2,0,30,20,AKF,1,0,0,1,1,1,1.0,2,30,0,20,2,10,2.0,30.0,20.0,2.0,1.5,-0.5,1.0
2467,2016-10-09,AKF,MIN,Tournament Game,MIN,AKF,5,20,3,27,,2016-2017 Season,3,5,20,27,AKF,0,1,0,1,2,1,0.5,5,50,5,47,0,3,2.5,25.0,23.5,5.0,0.5,0.0,0.5
2488,2016-10-14,AKF,CNS,home/away,CNS,AKF,2,28,1,22,100.0,2016-2017 Season,1,2,28,22,AKF,0,1,0,1,3,1,0.3333333333333333,6,78,7,69,-1,9,2.0,26.0,23.0,4.333333333333333,0.4230769230769231,-0.08974358974358976,0.4235294117647059
2508,2016-10-15,AKF,UNO,home/away,UNO,AKF,4,25,3,28,100.0,2016-2017 Season,3,4,25,28,AKF,0,1,0,1,4,1,0.25,9,103,11,97,-2,6,2.25,25.75,24.25,5.0,0.4,-0.15000000000000002,0.400990099009901
2537,2016-10-21,AKF,MNS,home/away,MNS,AKF,7,16,1,45,100.0,2016-2017 Season,1,7,16,45,AKF,0,1,0,1,5,1,0.2,10,119,18,142,-8,-23,2.0,23.8,28.4,5.6,0.2142857142857143,-0.01428571428571429,0.2358490566037736
