Date,startTime,endTime,totalTime,attendance,homeTeam,awayTeam,game_type,winner,loser,venueLoc,homescore,homegoalsallowed,homeemptynetgoalsallowed,homeadjustedgoalsallowed,homeshotsonGoal,awayscorelist,awaygoalsallowed,awayemptynetgoalsallowed,awayadjustedgoalsallowed,awayshotsonGoal,hockeySeason,TotalAdjusted_Goals,TotalShotson_Goal,homeshareShotsonGoal,awayshareShotsonGoal,shotsonGoalDifference,GF,GA,SOG,SOGA,Team,Wins,Losses,Ties,Total,Season Game,Season Wins,Winning %,Season GF,Season SOG,Season GA,Season SOGA,Season GD,Season SOGD,Goals Per Game (mean),SOG per Game (mean),SOGA per Game (mean),Total Goals Per Game (mean),Expected Winning %,Error,Expected Winning GF/GA
10/3/2014,19:07,21:38,151,1452,AKF,WON,home/away,AKF,WON,Alaska,3,1,0,1,41,1,3,0,3,26,2014-2015 Season,4,67,0.611940299,0.388059701,15,3,1,41,26,AKF,1,0,0,1,1,1,1,3,41,1,26,2,15,3,41,26,4,1,0,0.9
10/10/2014,17:07,19:25,138,2422,AKF,WIS,Tournament Game,AKF,WIS,Tournament,1,0,0,0,31,0,1,0,1,14,2014-2015 Season,1,45,0.688888889,0.311111111,17,1,0,31,14,AKF,1,0,0,1,2,2,1,4,72,1,40,3,32,2,36,20,2.5,1.1,-0.1,0.941176471
10/11/2014,16:07,18:20,133,2441,AKF,MNE,Tournament Game,AKF,MNE,Tournament,5,2,0,2,22,2,5,1,4,21,2014-2015 Season,6,43,0.511627907,0.488372093,1,4,2,22,21,AKF,1,0,0,1,3,3,1,8,94,3,61,5,33,2.666666667,31.33333333,20.33333333,3.666666667,0.954545455,0.045454545,0.876712329
10/17/2014,20:30,22:47,137,2522,AKF,AFA,home/away,AKF,AFA,Alaska,4,3,0,3,25,3,4,0,4,16,2014-2015 Season,7,41,0.609756098,0.390243902,9,4,3,25,16,AKF,1,0,0,1,4,4,1,12,119,6,77,6,42,3,29.75,19.25,4.5,0.833333333,0.166666667,0.8
10/18/2014,19:27,21:48,141,3584,AKF,PSU,home/away,AKF,PSU,Alaska,4,3,0,3,33,3,4,0,4,43,2014-2015 Season,7,76,0.434210526,0.565789474,-10,4,3,33,43,AKF,1,0,0,1,5,5,1,16,152,9,120,7,32,3.2,30.4,24,5,0.78,0.22,0.759643917
10/24/2014,19:05,21:33,148,3308,WMU,AKF,home/away,AKF,WMU,Western Michigan,0,1,0,1,34,1,0,0,0,32,2014-2015 Season,1,66,0.515151515,0.484848485,2,1,0,32,34,AKF,1,0,0,1,6,6,1,17,184,9,154,8,30,2.833333333,30.66666667,25.66666667,4.333333333,0.807692308,0.192307692,0.781081081
10/25/2014,19:05,21:34,149,4063,WMU,AKF,home/away,WMU,AKF,Western Michigan,4,2,0,2,37,2,4,1,3,32,2014-2015 Season,5,69,0.536231884,0.463768116,5,2,3,32,37,AKF,0,1,0,1,7,6,0.857142857,19,216,12,191,7,25,2.714285714,30.85714286,27.28571429,4.428571429,0.725806452,0.131336406,0.714851485
10/31/2014,19:37,21:57,140,3015,BMJ,AKF,home/away,BMJ,AKF,Bemidji State,6,1,0,1,24,1,6,0,6,27,2014-2015 Season,7,51,0.470588235,0.529411765,-3,1,6,27,24,AKF,0,1,0,1,8,6,0.75,20,243,18,215,2,28,2.5,30.375,26.875,4.75,0.552631579,0.197368421,0.552486188
11/1/2014,19:07,21:27,140,3397,BMJ,AKF,home/away,BMJ,AKF,Bemidji State,4,3,0,3,23,3,4,0,4,33,2014-2015 Season,7,56,0.410714286,0.589285714,-10,3,4,33,23,AKF,0,1,0,1,9,6,0.666666667,23,276,22,238,1,38,2.555555556,30.66666667,26.44444444,5,0.522222222,0.144444444,0.522211254
11/7/2014,19:07,21:20,133,2401,AKF,BGS,home/away,BGS,AKF,Alaska,2,3,0,3,28,3,2,0,2,33,2014-2015 Season,5,61,0.459016393,0.540983607,-5,2,3,28,33,AKF,0,1,0,1,10,6,0.6,25,304,25,271,0,33,2.5,30.4,27.1,5,0.5,0.1,0.5
