,Date,Day,startTime,endTime,totalTime,attendance,homeTeam,awayTeam,gameType,homeScore,awayScore,winner,loser
0,October 5 2019,Saturday,1900-01-01 14:05:00,1900-01-01 16:12:00,127,188,Boston College,New Brunswick,Exhibition Game,4,2,Home Team,Away Team
1,October 5 2019,Saturday,1900-01-01 16:00:00,1900-01-01 18:34:00,154,3030,Providence,Maine,Hockey East Conference Game,7,0,Home Team,Away Team
2,October 5 2019,Saturday,1900-01-01 16:00:00,1900-01-01 18:30:00,150,2088,Union,Boston University,Non-Conference Game,3,7,Away Team,Home Team
3,October 5 2019,Saturday,1900-01-01 16:05:00,1900-01-01 18:36:00,151,500,Niagara,Ryerson,Exhibition Game,4,3,Home Team,Away Team
4,October 5 2019,Saturday,1900-01-01 16:00:00,1900-01-01 18:14:00,134,1937,Rensselaer,Brock,Exhibition Game,6,3,Home Team,Away Team
5,October 5 2019,Saturday,1900-01-01 18:00:00,1900-01-01 20:20:00,140,4207,UMass Lowell,Alabama Huntsville,Non-Conference Game,5,1,Home Team,Away Team
6,October 5 2019,Saturday,1900-01-01 19:00:00,1900-01-01 21:12:00,132,2643,Clarkson,Royal Military,Exhibition Game,7,0,Home Team,Away Team
7,October 5 2019,Saturday,1900-01-01 19:00:00,1900-01-01 21:15:00,135,847,USA Under-18 Team,Northern Michigan,Exhibition Game,1,4,Away Team,Home Team
8,October 5 2019,Saturday,1900-01-01 19:05:00,1900-01-01 21:20:00,135,2782,Western Michigan,Northern Alberta IT,Exhibition Game,6,1,Home Team,Away Team
9,October 5 2019,Saturday,1900-01-01 19:05:00,1900-01-01 21:30:00,145,649,Robert Morris,Michigan Tech,Non-Conference Game,1,2,Away Team,Home Team
10,October 5 2019,Saturday,1900-01-01 19:05:00,1900-01-01 21:43:00,158,703,Sacred Heart,UConn,Non-Conference Game,3,3,Tie,Tie
11,October 5 2019,Saturday,1900-01-01 19:05:00,1900-01-01 21:24:00,139,482,Holy Cross,Simon Fraser,Exhibition Game,9,0,Home Team,Away Team
12,October 5 2019,Saturday,1900-01-01 19:05:00,1900-01-01 21:25:00,140,3656,Vermont,Guelph,Exhibition Game,6,1,Home Team,Away Team
13,October 5 2019,Saturday,1900-01-01 19:07:00,1900-01-01 21:35:00,148,1860,Lake Superior State,Merrimack,Non-Conference Game,6,2,Home Team,Away Team
14,October 5 2019,Saturday,1900-01-01 18:07:00,1900-01-01 20:25:00,138,2951,Minnesota State,Mount Royal,Exhibition Game,5,2,Home Team,Away Team
15,October 5 2019,Saturday,1900-01-01 19:30:00,1900-01-01 21:51:00,141,2278,Colgate,RIT,Non-Conference Game,1,3,Away Team,Home Team
16,October 5 2019,Saturday,1900-01-01 18:07:00,1900-01-01 20:24:00,137,2769,Colorado College,Trinity Western,Exhibition Game,4,1,Home Team,Away Team
17,October 5 2019,Saturday,1900-01-01 19:05:00,1900-01-01 21:15:00,130,4883,Minnesota Duluth,Alberta,Exhibition Game,3,5,Away Team,Home Team
18,October 5 2019,Saturday,1900-01-01 19:07:00,1900-01-01 21:23:00,136,11760,North Dakota,Manitoba,Exhibition Game,5,1,Home Team,Away Team
19,October 5 2019,Saturday,1900-01-01 19:05:00,1900-01-01 21:28:00,143,924,Arizona State,Mercyhurst,Non-Conference Game,2,3,Away Team,Home Team
20,October 5 2019,Saturday,1900-01-01 19:07:00,1900-01-01 21:24:00,137,1511,Alaska,Denver,Non-Conference Game,3,4,Away Team,Home Team
21,October 6 2019,Sunday,1900-01-01 13:07:00,1900-01-01 15:14:00,127,1236,Penn State,Ottawa,Exhibition Game,5,0,Home Team,Away Team
22,October 6 2019,Sunday,1900-01-01 14:00:00,1900-01-01 16:44:00,164,1276,Ferris State,Waterloo,Exhibition Game,2,2,Tie,Tie
23,October 6 2019,Sunday,1900-01-01 15:05:00,1900-01-01 17:18:00,133,444,Robert Morris,Michigan Tech,Non-Conference Game,0,7,Away Team,Home Team
24,October 6 2019,Sunday,1900-01-01 15:05:00,1900-01-01 17:30:00,145,200,Sacred Heart,Simon Fraser,Exhibition Game,6,1,Home Team,Away Team
25,October 6 2019,Sunday,1900-01-01 16:05:00,1900-01-01 18:20:00,135,1502,UMass Lowell,Alabama Huntsville,Non-Conference Game,3,1,Home Team,Away Team
26,October 6 2019,Sunday,1900-01-01 16:00:00,1900-01-01 18:22:00,142,2903,Maine,New Brunswick,Exhibition Game,0,5,Away Team,Home Team
27,October 6 2019,Sunday,1900-01-01 16:05:00,1900-01-01 18:39:00,154,1234,Quinnipiac,Brock,Exhibition Game,4,4,Tie,Tie
28,October 6 2019,Sunday,1900-01-01 16:00:00,1900-01-01 18:21:00,141,4855,Michigan,Windsor,Exhibition Game,8,2,Home Team,Away Team
29,October 6 2019,Sunday,1900-01-01 16:00:00,1900-01-01 18:19:00,139,622,USA Under-18 Team,Notre Dame,Exhibition Game,1,4,Away Team,Home Team
